mosquito_species,permanent,transitory,artificial,natural,hab_2_e3,hab_2_e7,hab_2_f2,hab_2_g1,hab_2_g2,hab_2_j1,hab_2_j2,hab_2_j4,hab_2_j5,hab_2_j6,hab_2_x01,hab_2_x11,hab_2_x16,hab_2_x19,hab_2_x20,hab_2_x22,hab_2_x23,hab_2_x24,hab_2_x25,hab_2_x27,hab_2_c2,hab_2_e5,hab_2_c1,hab_2_d5,hab_2_d6,hab_2_x03,hab_2_f9,hab_2_g4,hab_2_x07,hab_2_x09,hab_2_d4,hab_2_h1,hab_2_i2,hab_2_x02,hab_2_x05,hab_2_j3,hab_2_a1,hab_2_a2,treehole,rockhole,ground,pond,pool,marsh,swamp,vector,dengue_virus_1,dengue_virus_2,dengue_virus_3,dengue_virus_4,murray_valley_encephalitis_virus,saint_louis_encephalitis_virus,west_nile_virus,yellow_fever_virus,japanese_encephalitis_virus,Introduced,Native,geo_breadth
Anopheles maculipennis,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,79
Anopheles plumbeus,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40
Anopheles sacharovi,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22
Anopheles superpictus,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24
Culex perexiguus,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,22
Culex pipiens,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,56
Culex theileri,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,33
Culex torrentium,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,25
Culex tritaeniorhynchus,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,13
Culiseta annulata,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,46
